ano;setor;empresa;kpi;valor;media_privados;desvio_padrao;zscore;sinal;evento_exogeno;descricao_evento
2019;Financeiro;BCO BRASIL S.A.;alavancagem;12.21;7.5;1.72;2.75;Alerta;0;
2019;Financeiro;BCO BRASIL S.A.;pdd_ratio;0.15;0.06;0.09;0.98;Abaixo da média;0;
2019;Financeiro;BRB BANCO DE BRASILIA S.A.;roe;0.2;0.16;0.03;1.63;Acima da média;0;
2019;Financeiro;BRB BANCO DE BRASILIA S.A.;margem_liquida;0.12;0.2;0.09;-0.8;Abaixo da média;0;
2019;Financeiro;BRB BANCO DE BRASILIA S.A.;nim;0.13;0.06;0.04;1.65;Acima da média;0;
2019;Financeiro;BRB BANCO DE BRASILIA S.A.;indice_eficiencia;0.63;0.42;0.07;2.88;Alerta;0;
2019;Financeiro;BRB BANCO DE BRASILIA S.A.;alavancagem;7.91;7.5;1.72;0.24;Na média;0;
2019;Financeiro;BRB BANCO DE BRASILIA S.A.;pdd_ratio;0.07;0.06;0.09;0.07;Na média;0;
2019;Financeiro;BANESTES S.A. - BCO EST ESPIRITO SANTO;roe;0.14;0.16;0.03;-0.7;Abaixo da média;0;
2019;Financeiro;BANESTES S.A. - BCO EST ESPIRITO SANTO;margem_liquida;0.1;0.2;0.09;-1.04;Alerta;0;
2019;Financeiro;BANESTES S.A. - BCO EST ESPIRITO SANTO;nim;0.04;0.06;0.04;-0.58;Abaixo da média;0;
2019;Financeiro;BANESTES S.A. - BCO EST ESPIRITO SANTO;indice_eficiencia;0.51;0.42;0.07;1.18;Alerta;0;
2019;Financeiro;BANESTES S.A. - BCO EST ESPIRITO SANTO;alavancagem;13.96;7.5;1.72;3.77;Alerta;0;
2019;Financeiro;BANESTES S.A. - BCO EST ESPIRITO SANTO;pdd_ratio;0.0;0.06;0.09;-0.72;Acima da média;0;
2020;Financeiro;BRB BANCO DE BRASILIA S.A.;roe;0.18;0.12;0.02;2.84;Acima da média;0;
2020;Financeiro;BRB BANCO DE BRASILIA S.A.;margem_liquida;0.11;0.16;0.06;-0.65;Abaixo da média;0;
2020;Financeiro;BRB BANCO DE BRASILIA S.A.;nim;0.1;0.05;0.05;0.96;Acima da média;0;
2020;Financeiro;BRB BANCO DE BRASILIA S.A.;indice_eficiencia;0.86;0.99;0.66;-0.2;Na média;0;
2020;Financeiro;BRB BANCO DE BRASILIA S.A.;alavancagem;11.05;8.59;2.14;1.15;Alerta;0;
2020;Financeiro;BRB BANCO DE BRASILIA S.A.;pdd_ratio;0.11;0.18;0.26;-0.27;Na média;0;
2020;Financeiro;BCO BRASIL S.A.;roe;0.09;0.12;0.02;-1.02;Alerta;0;
2020;Financeiro;BCO BRASIL S.A.;margem_liquida;0.12;0.16;0.06;-0.56;Abaixo da média;0;
2020;Financeiro;BCO BRASIL S.A.;nim;0.03;0.05;0.05;-0.42;Na média;0;
2020;Financeiro;BCO BRASIL S.A.;indice_eficiencia;1.45;0.99;0.66;0.7;Abaixo da média;0;
2020;Financeiro;BCO BRASIL S.A.;alavancagem;12.25;8.59;2.14;1.71;Alerta;0;
2020;Financeiro;BCO BRASIL S.A.;pdd_ratio;0.0;0.18;0.26;-0.69;Acima da média;0;
2020;Financeiro;BANESTES S.A. - BCO EST ESPIRITO SANTO;roe;0.13;0.12;0.02;0.65;Acima da média;0;
2020;Financeiro;BANESTES S.A. - BCO EST ESPIRITO SANTO;margem_liquida;0.14;0.16;0.06;-0.18;Na média;0;
2020;Financeiro;BANESTES S.A. - BCO EST ESPIRITO SANTO;nim;0.03;0.05;0.05;-0.51;Abaixo da média;0;
2020;Financeiro;BANESTES S.A. - BCO EST ESPIRITO SANTO;indice_eficiencia;0.97;0.99;0.66;-0.03;Na média;0;
2020;Financeiro;BANESTES S.A. - BCO EST ESPIRITO SANTO;alavancagem;17.12;8.59;2.14;3.99;Alerta;0;
2020;Financeiro;BANESTES S.A. - BCO EST ESPIRITO SANTO;pdd_ratio;0.0;0.18;0.26;-0.69;Acima da média;0;
2021;Financeiro;BCO BRASIL S.A.;roe;0.13;0.12;0.06;0.03;Na média;0;
